Domain,Category,Attribute,Description
Engagement ,Digital Interaction,INTR_DIGITAL_WEB_VISIT_CNT_24M,Captures the member’s web digital interaction for the last 24 months as count of website visits
Engagement ,Digital Interaction,INTR_DIGITAL_SEARCH_WITH_CHILDREN_CNT_24M,"Capture the home country code for members and non-members, along with their unique customer-level IDs and timestamps for record creation and updates."
Engagement ,Digital Interaction,INTR_DIGITAL_MOST_RECENT_MOBILE_APP_VISIT_DT_24M,mobile digital interaction most recent visit date for the last 24 months
Engagement ,Digital Interaction,INTR_DIGITAL_MOST_RECENT_WEB_VISIT_DT_24M,To capture the member’s web digital interaction most recent visit date for the last 24 months
Engagement ,Digital Interaction,PRFL_BONVOY_APP_ACCESS_IND,Captures if the customer has accessed the Bonvoy app in the last 24 months
Transaction,Reservation,TRAN_RES_TOTAL_STAY_CNT_24M,Capture a customer's total stay counts in the last 2 Years with their unique customer-level IDs and timestamps for record creation and updates.
Transaction,ADR,TRAN_RES_MAX_ADR_ROOM_REV_AMT,Serves as the maximum daily room revenue amount recorded over the past five years.
Transaction,Room Revenue,TRAN_RES_BRAND_TR_LX_ROOM_REV_AMT_24M,Captures the 24 months room revenue amount
Transaction,Reservation,TRAN_RES_TOTAL_BOOKING_CNT_24M,Provides the total number of bookings made by a customer in the past 24 months.
Transaction,Stays,TRAN_LUX_BRAND_MOST_STAY_5YR,Captures the customer's most stayed MI Luxury brand over a 5-year historical period
Transaction,Stays,TRAN_LUX_ROOM_STAY_CNT_5YR,Captures the customer's Luxury stay counts over a 5-year historical period
Transaction,Spend Per Room,TRAN_LUX_SPND_PER_ROOM_MAX_AMT_5YR,Captures the customer's Maximum Spend per Room on Transient (excluding Special Corporate) Stays at MI Luxury properties over a 5-year historical period
Transaction,Room Revenue,TRAN_LUX_TOTAL_ROOM_REV_AMT_5YR,Captures the customer's Total sum of Transient (excluding Special Corporate) Stay room revenue at MI Luxury properties over a 5-year historical period
Transaction,Reservation,TRAN_MEMBER_BOOKING_FLG,Captures if the customer has a booking in a hotel after the Enrollment
Transaction,Reservation,TRAN_MEMBER_LUXURY_BOOKING_FLG,Captures if the customer has a booking in a luxury hotel after the enrollment
Transaction,Reservation,TRAN_POINT_ELIGIBLE_MEMBER_BOOKING_FLG,Captures if the customer has made booking after the Enrollment as a Bonvoy member
Transaction,Reservation,TRAN_RES_NEXT_CHECK_IN_DT,"Serves as the scheduled date for the next check-in related to a transaction, specified in the format YYYY-MM-DD."
Transaction,ADR,TRAN_LUX_ADR_PER_NIGHT_5YR,Captures the customer's Average Spend per Night on Transient (excluding Special Corporate) Stays at MI Luxury properties over a 5-year historical period
Transaction,ADR,TRAN_LUX_ADR_PER_ROOM_5YR,Captures the customer's Average Spend per Room on Transient (excluding Special Corporate) Stays at MI Luxury properties over a 5-year historical period
Transaction,Room Nights,TRAN_RES_BRND_TIER_SELECT_ROOMNIGHTS_PCT_2YR,"Captures a customer's percent of room night counts in the last 2 Years at properties categorized as ""select"""
Transaction,Room Nights,TRAN_RES_BRND_TIER_PREMIUM_ROOMNIGHTS_PCT_2YR,Provides the percentage of room nights booked by customers in premium brand tiers over the last two years.
Transaction,Room Nights,TRAN_RES_BRND_TIER_LUXURY_ROOMNIGHTS_PCT_2YR,"Captures a customer's percent of room night counts in the last 2 Years at properties categorized as ""luxury"""
Transaction,Stays,TRAN_RES_BRND_TIER_SELECT_STAYS_PCT_2YR,Provides the percentage of a customer's stays at select-branded properties over the past two years.
Transaction,Stays,TRAN_RES_BRND_TIER_PREMIUM_STAYS_PCT_2YR,Provides the percentage of a customer's stays at premium-branded properties over the past two years.
Transaction,Stays,TRAN_RES_BRND_TIER_LUXURY_STAYS_PCT_2YR,"Captures a customer's stay counts percent in last 2 years at properties categorized as ""luxury"""
Transaction,Room Nights,TRAN_RES_TOTAL_ROOMNIGHTS_CNT_2YR,Provides the total count of room nights a customer has accumulated over the past two years.
Transaction,Room Nights,TRAN_RES_BRND_LONGERSTAY_ROOMNIGHTS_PCT_2YR,"Capture a customer's percent of total room night counts in the last 2 Years at properties categorized as ""longer stay"""
Transaction,Room Nights,TRAN_RES_BRND_MIDSCALE_ROOMNIGHTS_PCT_2YR,"Captures a customer's percent of room night counts in the last 2 Years at properties categorized as ""midscale stay"""
Transaction,Stays,TRAN_RES_BRND_LONGERSTAY_STAYS_PCT_2YR,"Captures a customer's percent of total stay counts in the last 2 Years at properties categorized as ""longer stay"""
Transaction,Stays,TRAN_RES_BRND_MIDSCALE_STAYS_PCT_2YR,"Captures a customer's percent of stay counts in the last 2 Years at properties categorized as ""midscale stay"""
Transaction,Room Nights,TRAN_RES_INTERNATIONAL_ROOMNIGHTS_PCT_2YR,Provides the percentage of a customer's room nights spent at international locations over a two-year period.
Transaction,Stays,TRAN_RES_INTERNATIONAL_STAYS_PCT_2YR,Provides the percentage of a customer's stays at international locations over the past two years.
Transaction,Stays,TRAN_HVMB_STAY_IND_24M,Captures whether the customer has stayed at an HVMB property in the last 2 years
Transaction,Stays,TRAN_RES_BRND_TIER_LUXURY_STAYS_CNT,"Capture a customer's lifetime stay counts at properties categorized as ""luxury"""
Transaction,Stays,TRAN_RES_BRND_TIER_PREMIUM_STAYS_CNT,"Captures the total number of lifetime stays a customer has at properties categorized as ""premium"" within a specified brand tier."
Transaction,Stays,TRAN_RES_BRND_TIER_SELECT_STAYS_CNT,"Provides the count of a customer's lifetime stays at properties categorized under the ""select"" brand tier."
Transaction,Stays,TRAN_RES_BRAND_GAYLORD_HOTELS_STAYS_CNT_2YR,Captures the customer's stay counts (integer value 0-9999) at the Gaylord brand in the last 2 years.
Transaction,Stays,TRAN_RES_BUSINESS_STAYS_PCT_2YR,Provides the percentage of a customer's stays that were for business purposes over the past two years.
Transaction,Reservation,TRAN_RES_RATE_PGM_CD_2YR,"Provides codes representing transaction response rates over the past two years, associated with unique customer-level IDs and timestamps."
Transaction,Stays,TRAN_RES_BRAND_MOXY_HOTELS_STAYS_CNT_2YR,Captures the customer's stay counts (integer value 0-9999) at the Moxy brand in the last 2 years
Transaction,Reservation,TRAN_RES_DIRECT_CHANNEL_BOOKING_PCT,"Percentage customer has made booking after the Enrollment as a Bonvoy member, through Direct Channel in past 2 years."
Transaction,Reservation,TRAN_RES_OTA_CHANNEL_BOOKING_PCT,"Percentage customer has made booking after the Enrollment as a Bonvoy member, through OTA Channel in past 2 years."
Transaction,Stays,TRAN_HVMB_TOTAL_STAY_CNT_24M,Captures the customer's stay counts (integer value 0-9999) at Homes & Villas by Marriott Bonvoy properties in the last 2 years
Transaction,ADR,TRAN_RES_AVG_ADR_ROOM_REV_AMT_2YR,Serves as the average daily room revenue amount recorded over the past two years.
Transaction,Room Nights,TRAN_RES_BUSINESS_ROOMNIGHTS_CNT_2YR,Customer's business related room nights counts in last 2 years
Transaction,Folio,TRAN_FOLIO_SPEND_FOOD_BEV_AMT_2YR,"to capture the total folio spend amount (USD) on Food and Beverages in the last 2 years., along with their unique customer-level IDs and timestamps for record creation and updates"
Transaction,Folio,TRAN_FOLIO_SPEND_GOLF_AMT_2YR,"to capture the total folio spend amount (USD) on Golf in the last 2 years., along with their unique customer-level IDs and timestamps for record creation and updates"
Transaction,Folio,TRAN_FOLIO_SPEND_SPA_AMT_2YR,"to capture the total folio spend amount (USD) on Spa in the last 2 years., along with their unique customer-level IDs and timestamps for record creation and updates"
Transaction,Stays,TRAN_RES_BRAND_FOUR_POINT_FLEX_STAYS_CNT_2YR,Captures the customer's stay counts (integer value 0-9999) at the FOUR POINTS FLEX BY SHERATON brand in the last 2 years
Transaction,Stays,TRAN_RES_BRAND_DESIGN_HOTELS_STAYS_CNT_2YR,Captures the customer's stay counts (integer value 0-9999) at the Design Hotels brand in the last 2 years
Transaction,Stays,TRAN_RES_BRAND_AUTOGRAPH_COLLECTION_STAYS_CNT_2YR,Captures the customer's stay counts (integer value 0-9999) at the Autograph Collection brand in the last 2 years
Transaction,Folio,TRAN_RES_BRAND_TRIBUTE_PORTFOLIO_HOTELS_STAYS_CNT_2YR,Captures the customer's stay counts (integer value 0-9999) at the TRIBUTE PORTFOLIO brand in the last 2 years
Transaction,Stays,TRAN_RES_BRAND_RESIDENCE_INN_STAYS_CNT_2YR,Captures the customer's stay counts (integer value 0-9999) at the Residence INN brand in the last 2 years
Transaction,Stays,TRAN_RES_BRAND_TOWNPLACE_SUITES_STAYS_CNT_2YR,Captures the customer's stay counts (integer value 0-9999) at the Townplace Suites brand in the last 2 years
Transaction,Stays,TRAN_RES_BRAND_ELEMENT_HOTELS_STAYS_CNT_2YR,Captures the customer's stay counts (integer value 0-9999) at the Element Hotels brand in the last 2 years
Transaction,Stays,TRAN_RES_BRAND_CITY_EXPRESS_STAYS_CNT_2YR,Captures the customer's stay counts (integer value 0-9999) at the CITY EXPRESS BY MARRIOTT brand in the last 2 years
Transaction,Stays,TRAN_RES_BRAND_ALOFT_STAYS_CNT_2YR,Captures the customer's stay counts (integer value 0-9999) at the ALOFT brand in the last 2 years
Transaction,Stays,TRAN_RES_BRAND_PROTEA_HOTELS_STAYS_CNT_2YR,Captures the customer's stay counts (integer value 0-9999) at the Protea Hotels brand in the last 2 years
Transaction,Stays,TRAN_RES_BRAND_AC_HOTELS_STAYS_CNT_2YR,Captures the customer's stay counts (integer value 0-9999) at the AC Hotels by Marriott brand in the last 2 years
Transaction,Stays,TRAN_RES_BRAND_FAIRFIELD_INN_STAYS_CNT_2YR,Captures the customer's stay counts (integer value 0-9999) at the Fairfield Inn brand in the last 2 years
Transaction,Stays,TRAN_RES_BRAND_SPRINGHILL_SUITES_STAYS_CNT_2YR,Captures the customer's stay counts (integer value 0-9999) at the Springhill suites brand in the last 2 years
Transaction,Stays,TRAN_RES_BRAND_FOUR_POINTS_STAYS_CNT_2YR,Captures the customer's stay counts (integer value 0-9999) at the Four Points Hotels in the last 2 years
Transaction,Stays,TRAN_RES_BRAND_COURTYARD_STAYS_CNT_2YR,Captures the customer's stay counts (integer value 0-9999) at the COURTYARD brand in the last 2 years
Transaction,Stays,TRAN_RES_BRAND_RENAISSANCE_STAYS_CNT_2YR,Captures the customer's stay counts (integer value 0-9999) at the RENAISSANCE brand in the last 2 years
Transaction,Stays,TRAN_RES_BRAND_WESTIN_STAYS_CNT_2YR,Captures the customer's stay counts (integer value 0-9999) at the WESTIN brand in the last 2 years
Transaction,Reservation,TRAN_RES_LUX_JW_MARRIOTT_BRND_LOYALIST_FLG,"Captures ""Y"" if the customer is a JW Marriott brand loyalist in the last 5 years"
Transaction,Stays,TRAN_RES_LUX_THE_LUXURY_COLLECTION_BRND_LOYALIST_FLG,"Captures ""Y"" if the customer is a The Luxury Collection brand loyalist in the last 5 years"
Transaction,Reservation,TRAN_RES_LUX_THE_RITZ_CARLTON_BRND_LOYALIST_FLG,"Captures ""Y"" if the customer is a Ritz Carlton brand loyalist in the last 5 years"
Transaction,Stays,TRAN_RES_LUX_PAID_TRANSIENT_LEISURE_STAY_CNT_5YR,Captures customer stay count having Luxury Paid Transient and Leisure stay in the last 5 years
Transaction,Room Nights,TRAN_HVMB_AVERAGE_ROOMNIGHT_REVENUE_AMT_3YR,Captures Customer's Average spend in USD per room night on HVMB stay over a 3-year lookback window
Transaction,Stays,TRAN_RES_LUX_PAID_TRANSIENT_BUSINESS_STAY_CNT_5YR,Captures customer stay count having Luxury Paid Transient and Business stay in the last 5 years
Transaction,Stays,TRAN_RES_BRAND_LE_MERIDIEN_STAYS_CNT_2YR,Captures the customer's stay counts (integer value 0-9999) at the LE MERIDIEN brand in the last 2 years
Transaction,Stays,TRAN_RES_BRAND_DELTA_STAYS_CNT_2YR,Captures the customer's stay counts (integer value 0-9999) at the DELTA brand in the last 2 years
Transaction,Stays,TRAN_RES_BRAND_EDITION_STAYS_CNT_2YR,Captures the customer's stay counts (integer value 0-9999) at the EDITION brand in the last 2 years
Transaction,Stays,TRAN_RES_BRAND_SHERATON_STAYS_CNT_2YR,Captures the customer's stay counts (integer value 0-9999) at the SHERATON brand in the last 2 years
Transaction,Reservation,TRAN_RES_LUX_BULGARI_BRND_LOYALIST_FLG,Captures if the customer is a Bulgari brand loyalist in the last 5 years
Transaction,Reservation,TRAN_RES_LUX_EDITION_BRND_LOYALIST_FLG,Captures if the customer is a EDITION brand loyalist in the last 5 years
Transaction,Reservation,TRAN_RES_LUX_ST_REGIS_BRND_LOYALIST_FLG,Capture if the customer is a St.Regis brand loyalist in the last 5 years
Transaction,Reservation,TRAN_RES_LUX_W_HOTELS_BRND_LOYALIST_FLG,Capture if the customer is a W Hotels brand loyalist in the last 5 years
Transaction,Stays,TRAN_RES_BRAND_W_HOTELS_STAYS_CNT_2YR,Captures the customer's stay counts (integer value 0-9999) at the W Hotels brand in the last 2 years
Transaction,Stays,TRAN_RES_BRAND_JW_MARRIOTT_STAYS_CNT_2YR,Captures the customer's stay counts (integer value 0-9999) at the JW Marriott Hotels brand in the last 2 years
Transaction,Stays,TRAN_RES_BRAND_THE_LUXURY_COLLECTION_STAYS_CNT_2YR,Captures the customer's stay counts (integer value 0-9999) at the Luxury Collection Hotels brand in the last 2 years
Transaction,Stays,TRAN_RES_BRAND_APARTMENT_BY_MARRIOTT_BONVOY_STAYS_CNT_2YR,Captures the customer's stay counts (integer value 0-9999) at the the Apartments by Marriott Bonvoy Property Hotels by Marriott brand in the last 2 years
Transaction,Stays,TRAN_RES_BRAND_EXECUTIVE_APARTMENTS_STAYS_CNT_2YR,Captures the customer's stay counts (integer value 0-9999) at the Marriott Executive Apartment brand in the last 2 years
Transaction,Stays,TRAN_RES_BRAND_ST_REGIS_STAYS_CNT_2YR,Captures the customer's stay counts (integer value 0-9999) at the St. Regis Hotels brand in the last 2 years
Transaction,Stays,TRAN_RES_BRAND_MARRIOTT_HOTELS_STAYS_CNT_2YR,Captures the customer's stay counts (integer value 0-9999) at the Marriott Hotels brand in the last 2 years
Transaction,Stays,TRAN_RES_ALL_INCLUSIVE_PROPERTY_STAYS_CNT_2YR,capture integer value 0-9999 counting the number of distinct stays the customer has at All-Inclusive properties in the last 2 years.
Transaction,Stays,TRAN_RES_BRAND_RITZ_CARLTON_RESERVE_STAYS_CNT_2YR,Captures the customer's stay counts (integer value 0-9999) at the Ritz Carlton Reserve Hotels brand in the last 2 years
Transaction,Stays,TRAN_RES_BRAND_RITZ_CARLTON_STAYS_CNT_2YR,Captures the customer's stay counts (integer value 0-9999) at the Ritz-Carlton brand in the last 2 years
Transaction,Stays,TRAN_RES_BRAND_SONDER_BY_MARRIOTT_BONVOY_STAYS_CNT_2YR,Captures Integer value 0-9999 counting the number of distinct stays the customer has at the Sonder by Marriott Bonvoy brand in the last 2 years
Transaction,Stays,TRAN_RES_BLEISURE_STAYS_CNT_2YR,"Captures Integer value 0-9999 counting the number of distinct stays the customer has had classified as ""bleisure"" (both business and leisure room nights within the same stay) in the last 2 years"
Transaction,Stays,TRAN_RES_OUTDOOR_COLLECTION_BY_MARRIOTT_BONVOY_STAYS_CNT_2YR,"Captures Integer value 0-9999 counting the number of distinct stays the customer has at Outdoor Collection by Marriott Bonvoy (inclusive of Postcard Cabins, Trailborn, and more) properties in the last 2 years"
Transaction,Reservation,TRAN_RES_AVG_BUSINESS_BOOKING_WINDOW_2YR,Captures Average number of days between booking creation date and check-in date across all business stays in the last 2 years. Round to the nearest whole number (integer)
Transaction,Reservation,TRAN_RES_AVG_LEISURE_BOOKING_WINDOW_2YR,Captures average number of days between booking creation date and check-in date across all leisure stays in the last 2 years. Round to the nearest whole number (integer)
Transaction,Stays,TRAN_RES_AVG_BUSINESS_LENGTH_OF_STAY_2YR,"Captures average elapsed nights between check-in date and check-out date across all business stays in the last 2 years, Null value expected for any customers who have not had any businessstays in the last 2 years."
Transaction,Stays,TRAN_RES_AVG_LEISURE_LENGTH_OF_STAY_2YR,"Captures average elapsed nights between check-in date and check-out date across all leisure stays in the last 2 years, Null value expected for any customers who have not had any leisurestays in the last 2 years."
Transaction,Stays,TRAN_RES_MAX_LENGTH_OF_STAY_NON_LUX_PROP_2YR,Captures Maximum duration of customer's stays over the last 2 years. Exclude group and contract bookings. Exclude luxury brand tier. Round to the nearest whole night (integer values). Null values expected for customers with no stays at non- luxury properties in the last 2 years
Transaction,Stays,TRAN_RES_BRAND_STUDIORES_STAYS_CNT_2YR,Captures Integer value 0-9999 counting the number of distinct stays the customer has at the StudioRes brand in the last 2 years.
Transaction,Stays,TRAN_RES_OTA_STAYS_CNT_1YR,Captures Number of completed stays (integer 0-9999) in the last 12 months that the customer booked via an OTA (“eChannel”).
Transaction,Room Nights,TRAN_RES_BUSINESS_ROOMNIGHTS_PCT_2YR,Provides the percentage of business related room nights booked by customers over the last two years.
Transaction,Boutique,PRFL_LUXURY_BRAND_BOUTIQUE_PURCHASER_FLG_2YR,Capture the Customers who purchased at least one product from the LuxuryBoutiques stores in last 2Yrs
Transaction,Boutique,PRFL_PREMIUM_SELECT_BRAND_BOUTIQUE_PURCHASER_FLG_2YR,Capture the Customers who purchased at least one product from the Premium/SelectBoutiques stores in last 2Yrs
Transaction,Boutique,PRFL_WESTIN_BRAND_BOUTIQUE_PURCHASER_FLG_2YR,Capture the Customers who purchased at least one product from the Westin store in last 2Yrs
Transaction,Reservation,ANLY_RES_MOST_RECENT_BOOKING_CHANNEL_2YR,"the most recent channel stay in the last 2 Yr Period , along with their unique customer-level IDs and timestamps for record creation and updates"
Transaction,Stays,ANLY_RES_MOST_RECENT_BUSINESS_STAY_DT_5YR,capture the most recent business stay date in the last 5 Yr Period
Privacy,Consent,CONSENT_TO_DELIVER_PERSONALIZED_SERVICES_FLG,"Indicates whether a customer has provided permission to receive personalized services, such as tailored offers or recommendations, based on their preferences and consent status within their customer profile."
Privacy,Consent,RECEIVE_EMAIL_SURVEY_FLG,"Indicates whether a customer has provided consent to receive email surveys, reflecting their preference for participating in feedback requests sent via email."
Privacy,Consent,RECEIVE_SMS_MARKETING_FLG,"Indicates whether a customer has provided consent to receive promotional text messages, reflecting their preference for receiving marketing communications via SMS. Values typically represent consent status, such as “Y” or “N.”"
Privacy,Consent,RECEIVE_POSTAL_GENERAL_FLG,"Indicates whether a customer has provided consent to receive general postal communications, such as mailers or printed offers, from Marriott. Reflects the customer’s stated preference regarding physical mail outreach."
Privacy,Consent,RECEIVE_SMS_TRANSACTIONAL_FLG,"Indicates whether a customer has provided consent to receive transactional SMS messages, reflecting their communication preferences regarding booking confirmations, reservation updates, or other service-related notifications via text message."
Privacy,Consent,UNIVERSAL_OPT_OUT_FLG,"Indicates whether a customer has provided consent to receive marketing communications via mobile push notifications, reflecting their preference for promotional messages sent directly to their mobile device during their engagement with Marriott."
Privacy,Consent,OPT_OUT_OF_TARGETED_ADVESRTISING_FLG,"Indicates whether a customer has chosen not to receive personalized advertising based on their preferences, reflecting their decision regarding participation in targeted marketing communications."
Privacy,Consent,DO_NOT_SELL_FLG,"Indicates whether a customer has expressed a preference to restrict the sale of their personal information, reflecting their consent status regarding data sharing for commercial purposes within Marriott’s global operations."
Privacy,Consent,INTERNATIONAL_OBJECTION_FLG,"Indicates whether a customer has expressed an objection to international data sharing or processing, reflecting their preferences regarding the handling of personal information across global locations."
Privacy,Consent,LATEST_CONSENT_UPDATE_DT,"Indicates the most recent date on which a customers consent preferences were updated, reflecting the latest changes made to their permissions or agreements regarding the use of their personal information."
Profile,Demographics,BIRTHDAY_YEAR_EDITED,"A date storing customer birth MONTH and DAY, combined with 1896 as the YEAR to form the full birth date."
